Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/15/23 17:09,Kingsville,MD,USA,Cigar,Unclear. We were driving,"6 bright lights suddenly appeared, had a tail of light and suddenly disappeared",3/6/23,Yes
1/15/23 15:30,Media,PA,USA,Fireball,2 minutes,I saw 3 fireball shaped clouds moving almost vertically in the sky. I took out my phone and took a video. Then I stopped the video.,3/6/23,
1/15/23 15:23,Columbus,OH,USA,Orb,2 minutes,Orb hovering over our house,3/6/23,Yes
1/15/23 11:57,Saint Petersburg,FL,USA,Disk,Less than 1 minute,"Metallic disk appeared for 5 seconds and disappeared. Saw it again moments later, further west, and disappeared in the same manner.",3/6/23,
1/15/23 08:45,East Farnham,Quebec,Canada,Disk,30 secs,It was so low it seemed like a plane was going to crash. It just hovered and changed directions 3 times then disappeared,3/6/23,
1/15/23 05:30,Mercer Island,WA,USA,Unknown,30 seconds,Directly in front of bedroom window,3/6/23,
1/15/23 02:10,Dallas,,,Orb,2 seconds,"3 of us, 5 ft apart, whom are all strangers to each other, and SOBER, saw the same object in the sky above us simultaneously",3/6/23,
1/15/23 01:00,Goshen,CT,USA,Fireball,10 seconds,Static noises. What looked like a shooting star with blue and red tail came straight down and disappeared into farmland.,7/10/23,
1/14/23 22:00,DEKALB,IL,USA,Chevron,,"These are following up with a previous report from Dekalb. In this photo, details of the chevron object can be seen much better",5/19/23,Yes
1/14/23 19:30,"Ranch S/W of Tilden, TX",TX,USA,Light,"15 min, then departed","Looking SE from Coordinate location, viewed lights moving in circles and darting from one location to another.",3/6/23,
1/14/23 19:25,Rock island and cookeville,TN,USA,Cigar,3 hours,It scared us bc it watched us and followed us 45 miles to cookeville,3/6/23,
1/14/23 18:47,Myrtle Beach,SC,USA,Sphere,Several hours,"See them all the time, but got good several good pics and videos this time.",3/6/23,Yes
1/14/23 18:00,Portland,OR,USA,Light,90 seconds,I saw an orange reddish light just above the West hills in Portland,3/6/23,
1/14/23 15:55,Bellingham,WA,USA,Triangle,10 min,Black triangular shape stayed stationary for approx 10 min,3/6/23,Yes
1/14/23 06:31,Greer,SC,USA,Light,5 seconds,Spotted a green light appearing out of nowhere and quickly traveling a short distance before disappearing,3/6/23,
1/14/23 03:53,Camden,SC,USA,Fireball,2 hrs,It looked like a fireball,3/6/23,
1/13/23 21:40,Hahira,GA,USA,Triangle,3 min,Triangular UAP taking off from hover position.,3/6/23,Yes
1/13/23 20:15,Bridgeton,MO,USA,Circle,About four to five minute,"Two pair. Shorter space between two, more space between next pair.",3/6/23,Yes
1/13/23 18:06,paonta sahib,Himachal Pradesh,India,Light,,i,3/6/23,Yes
1/13/23 17:53,Bemidji,MN,USA,Light,approx. 5 min.,"Bright light just below Venus, just disappears",3/6/23,
1/13/23 17:03,Toms River,NJ,USA,Chevron,Taken during photo,"I was looking at sky from car, I opened window stuck phone out to take sunset. In the photo appears two objects.",3/6/23,Yes
1/13/23 16:47,North Las Vegas,NV,USA,Unknown,About 15-20 minutes,I was looking out my window. When a black mass floated up into the sky directly in front of me.,3/6/23,
1/13/23 16:37,,,USA,Oval,Approx 3 min,Object with lights seen at high altitude,3/6/23,Yes
1/13/23 11:49,Pacific ocean,,,Light,30 to 45 mins,2 lights moving rapidly back and forth,3/6/23,
1/13/23 06:35,Tonto Basin,AZ,USA,Other,1 minute,Looked like airplane with fake fire ontop,3/6/23,
1/13/23 01:36,Bengaluru,Karnataka,India,Star,Few minutes,It looks like a cluster of stars and is stationery,3/6/23,Yes
1/13/23 00:14,Raleigh,NC,USA,Oval,14 minutes,I saw something hovering in the air with light all around and there was a blue light,3/6/23,
1/12/23 19:30,CHESTERFIELD,MO,USA,Unknown,a couple seconds,A massive black object with no lights flying ultra low over our home.,3/6/23,
1/12/23 19:24,Lindsay,CA,USA,Light,Everynight past 3 years,Almost every night for the last 3 years these lights that change color green or orange show up wherever I am they just hover and follow,3/6/23,Yes
1/12/23 18:55,ORLANDO,FL,USA,Light,10 mins,Balls of light in the sky flying in a row,3/6/23,
1/12/23 18:36,Kirkland,AZ,USA,Circle,20-35 seconds,3 white/orange rings of light,3/6/23,
1/12/23 18:20,San Francisco,CA,USA,Sphere,10-15 minutes.,We witnesses 6 then 5 glowing orbs a couple miles away in the sky. They were floating. Very bright. Over reside rial area,7/10/23,Yes
1/12/23 18:08,,,USA,Cigar,7 or more,There was one triangle shaped craft and many dots around it.,3/6/23,Yes
1/12/23 17:30,Orlando,FL,USA,Unknown,unknown,An emerald green sphere in the sky noted in picture and when enhanced it appears to be a spacecraft.,3/6/23,Yes
1/12/23 11:00,El Centro,CA,USA,Circle,2hrs,While looking at my security camera I noticed 2 silver objects hovering above ground.,3/6/23,
1/12/23 06:30,Depoe Bay,OR,USA,Orb,30 seconds,"The orb appeared and disappeared, flashing brightly and moving rapidly while appearing to exist in multiple locations simultaneously.",7/10/23,Yes
1/12/23 05:12,Dobson,NC,USA,Triangle,a few seconds,"Heard odd sound, saw triangular craft, three red lights, flying low as it passed overhead.",3/6/23,
1/12/23 00:30,Winston-Salem,NC,USA,Cigar,1-2 minutes,"My sister and I heard low humming that shook the house at around 12:30 AM, my sister viewed the cigar shaped craft go over some trees.",3/6/23,
1/11/23 22:37,Colchester,VT,USA,Oval,Several hours,These oval crafts surrounded by white lights hovering and moving around in the sky I have been observing for the past twelve years. In,3/6/23,
1/11/23 21:31,Big cypress national preserve,FL,USA,Sphere,about 10 minutes,"
While driving down this very long route in the middle of nowhere florida I spotted these very bright flying objects",3/6/23,Yes
1/11/23 20:30,Indian Lake Estates,FL,USA,Formation,A second or two,Approx. 8:30 p.m. looking around sky for ufo's with night vision and barely caught a small fleet of approx. seven tic-tac shaped crafts,5/19/23,
1/11/23 20:01,wilmington,DE,USA,Fireball,,Me and everyone outside saw it from the street.,3/6/23,
1/11/23 19:55,Palm Bay,FL,USA,Cigar,15 seconds,Bright green object flew over house,3/6/23,
1/11/23 19:35,Altadena,CA,USA,Oval,fly over 5 seconds,Almost invisible except for oval ring glowing a slight green,3/6/23,
1/11/23 19:22,Palm Bay,FL,USA,Unknown,2-3 minutes,2 stationary lights in separate locations became mobile,3/6/23,
1/11/23 19:10,HONOLULU,HI,USA,Sphere,3 minutes,"A brilliant small circle of light, high in the sky, no sound, travelled from the South Shore near Honolulu to the Northeast Oahu",3/6/23,
